Network,N_Regions,Dice_with_Ref,R_Close,P_Close,R_Random,P_Random,R_All,P_All,Q_Close
Verbal encoding memory,NaN,NaN,0.5848,5e-05,NaN,NaN,NaN,NaN,0.00065
Somatomotor,39,0.106194690265487,0.579665956274934,0.000110115523549115,0.120508024663713,0.593208458593044,0.431509270067092,0.000516369297559938,0.000715750903069245
Cingulo-Opercular,56,0.2,0.530835511082909,0.00050781192223337,0.0564971841579988,0.802799198132975,0.391403284346957,0.00181355968817687,0.00220051832967794
Frontoparietal,50,0.145161290322581,0.507623143155536,0.000971632188762506,0.070601527808289,0.754880660783749,0.369555207194113,0.00337723396826273,0.00315780461347814
Visual2,54,0.296875,0.423851060926116,0.00716879739600051,0.0158641143271779,0.94413797922855,0.300444836302559,0.0186405869498094,0.0186388732296013
Default,75,0.0805369127516779,0.350306768735969,0.0287944976174064,-0.0372881415442792,0.869145065836963,0.247139048030659,0.0548342249166798,0.0623880781710471
Auditory,15,0,0.315021602386356,0.050777236140324,-0.0593299960113072,0.793113915497774,0.203675059051372,0.115395801365449,0.0943005814034589
Dorsal-Attention,23,0.123711340206186,0.284090386008128,0.0796472233640045,-0.105683882340303,0.639726765445575,0.147192207414855,0.257632830505715,0.11680144299122
Visual1,6,0.05,0.282997499988209,0.0808625374554599,-0.00935984657582235,0.96702511944261,0.177843204402932,0.170305312755397,0.11680144299122
Language,23,0.144329896907217,0.245594535923776,0.13180419997993,-0.262146934493114,0.23857470107213,0.104238582699133,0.424019022298903,0.171345459973909
Posterior-Multimodal,7,0,0.217562441591796,0.183362313230657,-0.0715923073918183,0.751544876573861,0.0637963347811883,0.625227349332597,0.216700915636231
Ventral-Multimodal,4,0,0.0954346943594621,0.563317894121882,-0.167307257542825,0.45675335826616,0.034652298061801,0.79091418144824,0.610261051965372
Orbito-Affective,6,0,-0.0147605449388581,0.928934709399137,-0.162245062441306,0.470677580968612,-0.0164446619196298,0.899899510096843,0.928934709399137
